loc,c,d,m
CEBU CITY,1560,11,12
COTABATO CITY,184,2,1
COTABATO CITY,178,0,2
COTABATO CITY,181,1,3
COTABATO CITY,133,0,4
COTABATO CITY,140,2,5
COTABATO CITY,305,3,6
COTABATO CITY,517,4,7
COTABATO CITY,430,3,8
COTABATO CITY,310,51,9
COTABATO CITY,200,56,10
COTABATO CITY,164,4,11
COTABATO CITY,169,0,12
DAGUPAN CITY,146,0,1
DAGUPAN CITY,103,0,2
DAGUPAN CITY,69,1,3
DAGUPAN CITY,48,0,4
DAGUPAN CITY,51,1,5
DAGUPAN CITY,110,0,6
DAGUPAN CITY,203,0,7
DAGUPAN CITY,315,2,8
DAGUPAN CITY,430,2,9
DAGUPAN CITY,417,2,10
DAGUPAN CITY,324,0,11
DAGUPAN CITY,199,1,12
DAVAO CITY,1111,11,1
DAVAO CITY,1040,7,2
DAVAO CITY,879,5,3
DAVAO CITY,558,3,4
DAVAO CITY,565,1,5
DAVAO CITY,1082,6,6
DAVAO CITY,2826,16,7
DAVAO CITY,2690,15,8
DAVAO CITY,1542,81,9
DAVAO CITY,1022,54,10
DAVAO CITY,926,3,11
DAVAO CITY,1089,4,12
DAVAO DE ORO,453,0,1
DAVAO DE ORO,406,1,2
DAVAO DE ORO,365,3,3
DAVAO DE ORO,261,0,4
DAVAO DE ORO,255,2,5
DAVAO DE ORO,357,2,6
DAVAO DE ORO,550,4,7
DAVAO DE ORO,547,1,8
DAVAO DE ORO,492,10,9
DAVAO DE ORO,387,3,10
DAVAO DE ORO,479,3,11
DAVAO DE ORO,532,0,12
DAVAO DEL NORTE,667,2,1
DAVAO DEL NORTE,499,1,2
DAVAO DEL NORTE,423,2,3
DAVAO DEL NORTE,248,1,4
DAVAO DEL NORTE,268,0,5
DAVAO DEL NORTE,527,11,6
DAVAO DEL NORTE,716,10,7
DAVAO DEL NORTE,635,3,8
DAVAO DEL NORTE,576,17,9
DAVAO DEL NORTE,469,13,10
DAVAO DEL NORTE,336,1,11
DAVAO DEL NORTE,417,3,12
DAVAO DEL SUR,146,2,1
DAVAO DEL SUR,204,2,2
DAVAO DEL SUR,223,2,3
DAVAO DEL SUR,131,0,4
DAVAO DEL SUR,111,3,5
DAVAO DEL SUR,152,2,6
DAVAO DEL SUR,269,1,7
DAVAO DEL SUR,349,7,8
DAVAO DEL SUR,170,4,9
DAVAO DEL SUR,89,5,10
DAVAO DEL SUR,100,3,11
DAVAO DEL SUR,119,1,12
DAVAO OCCIDENTAL,13,0,1
DAVAO OCCIDENTAL,11,0,2
DAVAO OCCIDENTAL,20,1,3
DAVAO OCCIDENTAL,12,1,4
DAVAO OCCIDENTAL,10,0,5
DAVAO OCCIDENTAL,12,0,6
DAVAO OCCIDENTAL,27,1,7
DAVAO OCCIDENTAL,25,1,8
DAVAO OCCIDENTAL,31,2,9
DAVAO OCCIDENTAL,9,2,10
DAVAO OCCIDENTAL,13,0,11
DAVAO OCCIDENTAL,24,0,12
DAVAO ORIENTAL,370,3,1
DAVAO ORIENTAL,388,3,2
DAVAO ORIENTAL,307,2,3
DAVAO ORIENTAL,242,1,4
DAVAO ORIENTAL,207,1,5
DAVAO ORIENTAL,238,2,6
DAVAO ORIENTAL,377,1,7
DAVAO ORIENTAL,478,1,8
DAVAO ORIENTAL,431,20,9
DAVAO ORIENTAL,373,9,10
DAVAO ORIENTAL,322,2,11
DAVAO ORIENTAL,366,1,12
DINAGAT ISLANDS,189,3,1
DINAGAT ISLANDS,203,0,2
DINAGAT ISLANDS,99,0,3
DINAGAT ISLANDS,34,0,4
DINAGAT ISLANDS,43,0,5
DINAGAT ISLANDS,25,0,6
DINAGAT ISLANDS,30,0,7
DINAGAT ISLANDS,127,1,8
DINAGAT ISLANDS,172,18,9
DINAGAT ISLANDS,123,12,10
DINAGAT ISLANDS,144,0,11
DINAGAT ISLANDS,277,4,12
EASTERN SAMAR,476,3,1
EASTERN SAMAR,542,5,2
EASTERN SAMAR,353,3,3
EASTERN SAMAR,207,2,4
EASTERN SAMAR,231,1,5
EASTERN SAMAR,340,5,6
EASTERN SAMAR,998,4,7
EASTERN SAMAR,1391,4,8
EASTERN SAMAR,1065,12,9
EASTERN SAMAR,644,17,10
EASTERN SAMAR,598,2,11
EASTERN SAMAR,556,4,12
GENERAL SANTOS CITY,881,6,1
GENERAL SANTOS CITY,655,3,2
GENERAL SANTOS CITY,547,3,3
GENERAL SANTOS CITY,361,1,4
GENERAL SANTOS CITY,284,3,5
GENERAL SANTOS CITY,348,1,6
GENERAL SANTOS CITY,571,5,7
GENERAL SANTOS CITY,1071,4,8
GENERAL SANTOS CITY,1078,351,9
GENERAL SANTOS CITY,715,412,10
GENERAL SANTOS CITY,695,5,11
GENERAL SANTOS CITY,900,3,12
GUIMARAS,48,0,1
GUIMARAS,61,0,2
GUIMARAS,77,0,3
GUIMARAS,54,0,4
GUIMARAS,65,1,5
GUIMARAS,274,2,6
GUIMARAS,838,1,7
GUIMARAS,946,2,8
GUIMARAS,536,4,9
GUIMARAS,183,5,10
GUIMARAS,94,0,11
GUIMARAS,45,0,12
IFUGAO,132,0,1
IFUGAO,119,0,2
IFUGAO,63,0,3
IFUGAO,34,1,4
IFUGAO,58,0,5
IFUGAO,218,0,6
IFUGAO,818,3,7
IFUGAO,812,0,8
IFUGAO,562,52,9
IFUGAO,449,81,10
IFUGAO,239,1,11
IFUGAO,145,1,12
ILIGAN CITY,575,7,1
ILIGAN CITY,478,2,2
ILIGAN CITY,338,5,3
ILIGAN CITY,193,3,4
ILIGAN CITY,107,2,5
ILIGAN CITY,173,1,6
ILIGAN CITY,437,4,7
ILIGAN CITY,836,5,8
ILIGAN CITY,865,10,9
ILIGAN CITY,466,15,10
ILIGAN CITY,471,3,11
ILIGAN CITY,581,9,12
ILOCOS NORTE,209,0,1
ILOCOS NORTE,172,0,2
ILOCOS NORTE,175,0,3
ILOCOS NORTE,108,1,4
ILOCOS NORTE,88,1,5
ILOCOS NORTE,255,4,6
ILOCOS NORTE,1305,5,7
ILOCOS NORTE,1334,2,8
ILOCOS NORTE,1100,7,9
ILOCOS NORTE,668,2,10
ILOCOS NORTE,1064,2,11
ILOCOS NORTE,260,1,12
ILOCOS SUR,464,0,1
