loc,cases,deaths,day,month,year
27,2,1,30,10,2016
27,3,0,6,11,2016
27,5,0,13,11,2016
27,9,0,20,11,2016
27,9,0,27,11,2016
27,8,0,4,12,2016
27,4,0,11,12,2016
27,2,0,18,12,2016
27,3,0,25,12,2016
27,4,0,1,1,2017
28,30,0,10,1,2016
28,17,0,17,1,2016
28,14,0,24,1,2016
28,20,0,31,1,2016
28,13,0,7,2,2016
28,11,0,14,2,2016
28,5,0,21,2,2016
28,12,0,28,2,2016
28,9,0,6,3,2016
28,5,0,13,3,2016
28,5,0,20,3,2016
28,9,0,27,3,2016
28,8,0,3,4,2016
28,8,0,10,4,2016
28,9,0,17,4,2016
28,12,0,24,4,2016
28,5,0,1,5,2016
28,1,0,8,5,2016
28,6,0,15,5,2016
28,8,0,22,5,2016
28,12,0,29,5,2016
28,9,0,5,6,2016
28,7,0,12,6,2016
28,11,0,19,6,2016
28,6,0,26,6,2016
28,15,0,3,7,2016
28,14,0,10,7,2016
28,27,0,17,7,2016
28,21,0,24,7,2016
28,24,0,31,7,2016
28,35,0,7,8,2016
28,19,0,14,8,2016
28,12,0,21,8,2016
28,28,0,28,8,2016
28,31,1,4,9,2016
28,23,0,11,9,2016
28,18,0,18,9,2016
28,19,0,25,9,2016
28,19,0,2,10,2016
28,18,0,9,10,2016
28,13,0,16,10,2016
28,15,0,23,10,2016
28,14,0,30,10,2016
28,14,0,6,11,2016
28,11,0,13,11,2016
28,7,0,20,11,2016
28,10,0,27,11,2016
28,12,0,4,12,2016
28,8,0,11,12,2016
28,9,0,18,12,2016
28,15,0,25,12,2016
28,9,0,1,1,2017
31,5,0,10,1,2016
31,4,0,17,1,2016
31,1,0,24,1,2016
31,0,0,31,1,2016
31,2,0,7,2,2016
31,5,0,14,2,2016
31,0,0,21,2,2016
31,0,0,28,2,2016
31,1,0,6,3,2016
31,1,0,13,3,2016
31,0,0,20,3,2016
31,0,0,27,3,2016
31,0,0,3,4,2016
31,0,0,10,4,2016
31,0,0,17,4,2016
31,1,0,24,4,2016
31,1,0,1,5,2016
31,1,0,8,5,2016
31,2,0,15,5,2016
31,2,0,22,5,2016
31,0,0,29,5,2016
31,1,0,5,6,2016
31,2,0,12,6,2016
31,3,0,19,6,2016
31,3,0,26,6,2016
31,0,0,3,7,2016
31,3,0,10,7,2016
31,1,0,17,7,2016
31,3,0,24,7,2016
31,0,0,31,7,2016
31,6,0,7,8,2016
31,9,0,14,8,2016
31,4,0,21,8,2016
31,5,0,28,8,2016
31,9,0,4,9,2016
31,7,0,11,9,2016
31,10,0,18,9,2016
31,8,1,25,9,2016
31,6,0,2,10,2016
31,11,0,9,10,2016
31,3,0,16,10,2016
31,0,0,23,10,2016
31,0,0,30,10,2016
31,3,0,6,11,2016
31,0,0,13,11,2016
31,3,0,20,11,2016
31,0,0,27,11,2016
31,5,0,4,12,2016
31,7,0,11,12,2016
31,3,0,18,12,2016
31,2,0,25,12,2016
31,0,0,1,1,2017
32,214,1,10,1,2016
32,161,2,17,1,2016
32,147,1,24,1,2016
32,160,0,31,1,2016
32,150,0,7,2,2016
32,117,0,14,2,2016
32,103,0,21,2,2016
32,84,1,28,2,2016
32,89,0,6,3,2016
32,92,1,13,3,2016
32,80,0,20,3,2016
32,36,0,27,3,2016
32,52,0,3,4,2016
32,52,0,10,4,2016
32,33,1,17,4,2016
32,39,0,24,4,2016
32,47,0,1,5,2016
32,41,0,8,5,2016
32,31,0,15,5,2016
32,26,0,22,5,2016
32,22,0,29,5,2016
32,27,0,5,6,2016
32,34,1,12,6,2016
32,45,2,19,6,2016
32,58,0,26,6,2016
32,53,0,3,7,2016
32,67,0,10,7,2016
32,110,0,17,7,2016
32,117,0,24,7,2016
32,146,1,31,7,2016
32,169,0,7,8,2016
32,195,0,14,8,2016
32,143,0,21,8,2016
32,166,0,28,8,2016
32,234,2,4,9,2016
32,151,1,11,9,2016
32,175,2,18,9,2016
32,169,0,25,9,2016
32,131,0,2,10,2016
32,198,1,9,10,2016
32,116,1,16,10,2016
32,134,0,23,10,2016
32,138,0,30,10,2016
32,135,1,6,11,2016
32,126,0,13,11,2016
32,141,2,20,11,2016
32,123,1,27,11,2016
32,140,1,4,12,2016
32,134,0,11,12,2016
32,111,0,18,12,2016
32,72,0,25,12,2016
32,64,0,1,1,2017
36,3,0,10,1,2016
36,6,0,17,1,2016
36,8,0,24,1,2016
36,8,0,31,1,2016
36,6,0,7,2,2016
36,4,0,14,2,2016
36,2,0,21,2,2016
36,4,0,28,2,2016
36,2,0,6,3,2016
36,7,0,13,3,2016
36,3,0,20,3,2016
36,1,0,27,3,2016
36,5,0,3,4,2016
36,3,0,10,4,2016
36,4,0,17,4,2016
36,6,0,24,4,2016
36,4,0,1,5,2016
36,5,1,8,5,2016
36,2,0,15,5,2016
36,3,0,22,5,2016
36,8,0,29,5,2016
36,18,0,5,6,2016
36,5,0,12,6,2016
36,5,0,19,6,2016
36,9,0,26,6,2016
36,17,0,3,7,2016
36,4,0,10,7,2016
36,10,0,17,7,2016
36,8,0,24,7,2016
36,16,0,31,7,2016
36,19,0,7,8,2016
36,14,0,14,8,2016
36,29,0,21,8,2016
36,22,2,28,8,2016
36,21,0,4,9,2016
36,36,1,11,9,2016
36,33,0,18,9,2016
36,5,0,25,9,2016
36,29,0,2,10,2016
36,18,0,9,10,2016
36,27,0,16,10,2016
36,32,0,23,10,2016
36,27,0,30,10,2016
36,7,0,6,11,2016
36,27,0,13,11,2016
36,31,0,20,11,2016
36,17,0,27,11,2016
36,4,0,4,12,2016
36,5,0,11,12,2016
36,2,0,18,12,2016
36,2,0,25,12,2016
36,3,0,1,1,2017
49,32,0,10,1,2016
49,9,0,17,1,2016
49,11,0,24,1,2016
49,23,0,31,1,2016
49,14,0,7,2,2016
49,18,0,14,2,2016
49,12,0,21,2,2016
49,12,0,28,2,2016
49,10,0,6,3,2016
49,17,0,13,3,2016
49,8,0,20,3,2016
49,12,0,27,3,2016
49,10,0,3,4,2016
49,11,0,10,4,2016
49,10,0,17,4,2016
49,5,0,24,4,2016
49,5,0,1,5,2016
49,5,0,8,5,2016
49,5,0,15,5,2016
49,1,0,22,5,2016
49,1,0,29,5,2016
49,6,0,5,6,2016
49,11,0,12,6,2016
49,9,0,19,6,2016
49,16,0,26,6,2016
49,19,0,3,7,2016
49,36,0,10,7,2016
49,38,0,17,7,2016
49,41,0,24,7,2016
49,65,0,31,7,2016
49,47,0,7,8,2016
49,43,0,14,8,2016
49,32,0,21,8,2016
49,34,0,28,8,2016
49,40,0,4,9,2016
49,15,0,11,9,2016
49,18,0,18,9,2016
49,30,0,25,9,2016
49,21,0,2,10,2016
49,20,0,9,10,2016
49,11,0,16,10,2016
49,4,0,23,10,2016
49,6,0,30,10,2016
49,7,0,6,11,2016
49,9,0,13,11,2016
49,4,0,20,11,2016
49,10,0,27,11,2016
49,9,0,4,12,2016
49,5,0,11,12,2016
49,3,0,18,12,2016
49,10,0,25,12,2016
49,7,0,1,1,2017
50,48,0,10,1,2016
50,33,0,17,1,2016
50,35,0,24,1,2016
50,34,0,31,1,2016
50,24,0,7,2,2016
50,19,0,14,2,2016
50,35,0,21,2,2016
50,23,0,28,2,2016
50,16,0,6,3,2016
50,16,0,13,3,2016
50,15,0,20,3,2016
50,11,0,27,3,2016
50,12,0,3,4,2016
50,13,0,10,4,2016
50,17,0,17,4,2016
50,15,0,24,4,2016
50,24,0,1,5,2016
50,11,0,8,5,2016
50,20,0,15,5,2016
50,17,0,22,5,2016
50,13,0,29,5,2016
50,11,0,5,6,2016
50,17,0,12,6,2016
50,28,0,19,6,2016
50,35,0,26,6,2016
50,39,0,3,7,2016
50,54,0,10,7,2016
50,59,0,17,7,2016
50,70,0,24,7,2016
50,84,0,31,7,2016
50,72,0,7,8,2016
50,80,0,14,8,2016
50,69,0,21,8,2016
50,38,0,28,8,2016
50,29,0,4,9,2016
50,29,0,11,9,2016
50,28,0,18,9,2016
50,32,0,25,9,2016
50,19,0,2,10,2016
50,19,1,9,10,2016
50,11,0,16,10,2016
50,6,0,23,10,2016
50,18,1,30,10,2016
50,20,0,6,11,2016
50,11,0,13,11,2016
50,15,0,20,11,2016
50,11,0,27,11,2016
50,10,0,4,12,2016
50,8,0,11,12,2016
50,10,0,18,12,2016
50,8,0,25,12,2016
50,4,0,1,1,2017
53,78,0,10,1,2016
53,55,0,17,1,2016
53,67,0,24,1,2016
53,36,0,31,1,2016
53,56,0,7,2,2016
53,61,0,14,2,2016
53,80,1,21,2,2016
53,30,0,28,2,2016
53,40,0,6,3,2016
53,29,0,13,3,2016
53,28,0,20,3,2016
53,39,0,27,3,2016
53,32,0,3,4,2016
53,24,0,10,4,2016
53,17,0,17,4,2016
53,16,0,24,4,2016
53,28,0,1,5,2016
53,7,0,8,5,2016
53,3,0,15,5,2016
53,6,0,22,5,2016
53,3,0,29,5,2016
53,2,0,5,6,2016
53,4,0,12,6,2016
53,8,0,19,6,2016
53,8,0,26,6,2016
53,14,0,3,7,2016
53,24,0,10,7,2016
53,29,0,17,7,2016
53,43,0,24,7,2016
53,32,0,31,7,2016
53,70,0,7,8,2016
53,64,0,14,8,2016
53,60,0,21,8,2016
53,70,0,28,8,2016
53,42,0,4,9,2016
53,49,0,11,9,2016
53,10,0,18,9,2016
53,9,0,25,9,2016
53,7,0,2,10,2016
53,14,0,9,10,2016
53,17,0,16,10,2016
53,8,0,23,10,2016
53,11,0,30,10,2016
53,25,0,6,11,2016
53,21,0,13,11,2016
