loc,cases,deaths,month
GENERAL SANTOS CITY,Cases,412,10
GENERAL SANTOS CITY,Cases,3,2
GENERAL SANTOS CITY,Cases,351,9
GENERAL SANTOS CITY,Cases,3,12
GENERAL SANTOS CITY,Cases,6,1
GENERAL SANTOS CITY,Cases,3,5
GENERAL SANTOS CITY,Cases,1,6
GENERAL SANTOS CITY,Cases,1,4
GUIMARAS,Cases,0,12
GUIMARAS,Cases,0,4
GUIMARAS,Cases,1,5
GUIMARAS,Cases,0,1
GUIMARAS,Cases,0,2
GUIMARAS,Cases,4,9
GUIMARAS,Cases,0,3
GUIMARAS,Cases,5,10
GUIMARAS,Cases,2,6
GUIMARAS,Cases,0,11
GUIMARAS,Cases,2,8
GUIMARAS,Cases,1,7
IFUGAO,Cases,0,6
IFUGAO,Cases,0,1
IFUGAO,Cases,1,11
IFUGAO,Cases,1,4
IFUGAO,Cases,52,9
IFUGAO,Cases,0,3
IFUGAO,Cases,0,5
IFUGAO,Cases,81,10
IFUGAO,Cases,0,2
IFUGAO,Cases,1,12
IFUGAO,Cases,3,7
IFUGAO,Cases,0,8
ILIGAN CITY,Cases,5,8
ILIGAN CITY,Cases,9,12
ILIGAN CITY,Cases,3,4
ILIGAN CITY,Cases,5,3
ILIGAN CITY,Cases,7,1
ILIGAN CITY,Cases,15,10
ILIGAN CITY,Cases,3,11
ILIGAN CITY,Cases,10,9
ILIGAN CITY,Cases,1,6
ILIGAN CITY,Cases,2,5
ILIGAN CITY,Cases,2,2
ILIGAN CITY,Cases,4,7
ILOCOS NORTE,Cases,2,10
ILOCOS NORTE,Cases,4,6
ILOCOS NORTE,Cases,2,11
ILOCOS NORTE,Cases,5,7
ILOCOS NORTE,Cases,1,4
ILOCOS NORTE,Cases,1,12
ILOCOS NORTE,Cases,2,8
ILOCOS NORTE,Cases,1,5
ILOCOS NORTE,Cases,7,9
ILOCOS NORTE,Cases,0,1
ILOCOS NORTE,Cases,0,2
ILOCOS NORTE,Cases,0,3
ILOCOS SUR,Cases,0,2
ILOCOS SUR,Cases,4,10
ILOCOS SUR,Cases,0,3
ILOCOS SUR,Cases,0,1
ILOCOS SUR,Cases,0,5
ILOCOS SUR,Cases,3,8
ILOCOS SUR,Cases,1,6
ILOCOS SUR,Cases,0,12
ILOCOS SUR,Cases,4,9
ILOCOS SUR,Cases,0,11
ILOCOS SUR,Cases,6,7
ILOCOS SUR,Cases,0,4
ILOILO,Cases,78,10
ILOILO,Cases,2,11
ILOILO,Cases,12,6
ILOILO,Cases,5,4
ILOILO,Cases,3,1
ILOILO,Cases,4,3
ILOILO,Cases,115,9
ILOILO,Cases,3,5
ILOILO,Cases,0,12
ILOILO,Cases,33,8
ILOILO,Cases,4,2
ILOILO,Cases,28,7
ILOILO CITY,Cases,0,6
ILOILO CITY,Cases,0,5
ILOILO CITY,Cases,1,1
ILOILO CITY,Cases,12,8
ILOILO CITY,Cases,1,11
ILOILO CITY,Cases,0,4
ILOILO CITY,Cases,35,9
ILOILO CITY,Cases,4,3
ILOILO CITY,Cases,6,7
ILOILO CITY,Cases,2,2
ILOILO CITY,Cases,34,10
ILOILO CITY,Cases,0,12
ISABELA,Cases,11,1
ISABELA,Cases,2,2
ISABELA,Cases,3,5
ISABELA,Cases,12,7
ISABELA,Cases,5,8
ISABELA,Cases,9,9
ISABELA,Cases,1,4
ISABELA,Cases,12,10
ISABELA,Cases,2,3
ISABELA,Cases,9,11
ISABELA,Cases,8,12
ISABELA,Cases,4,6
ISABELA CITY,Cases,2,6
ISABELA CITY,Cases,2,8
ISABELA CITY,Cases,1,2
ISABELA CITY,Cases,1,1
ISABELA CITY,Cases,1,11
ISABELA CITY,Cases,16,10
ISABELA CITY,Cases,8,9
ISABELA CITY,Cases,0,5
ISABELA CITY,Cases,2,7
ISABELA CITY,Cases,2,4
ISABELA CITY,Cases,0,3
ISABELA CITY,Cases,0,12
KALINGA,Cases,0,3
KALINGA,Cases,0,5
KALINGA,Cases,3,8
KALINGA,Cases,58,10
KALINGA,Cases,0,2
KALINGA,Cases,1,7
KALINGA,Cases,94,9
KALINGA,Cases,0,6
KALINGA,Cases,2,12
KALINGA,Cases,2,1
KALINGA,Cases,4,11
KALINGA,Cases,0,4
LA UNION,Cases,1,10
LA UNION,Cases,0,6
LA UNION,Cases,4,8
LA UNION,Cases,0,5
LA UNION,Cases,0,12
LA UNION,Cases,2,2
LA UNION,Cases,2,7
LA UNION,Cases,0,3
LA UNION,Cases,0,4
LA UNION,Cases,4,9
LA UNION,Cases,5,1
LA UNION,Cases,0,11
LAGUNA,Cases,9,11
LAGUNA,Cases,0,4
LAGUNA,Cases,13,10
LAGUNA,Cases,8,3
LAGUNA,Cases,2,5
LAGUNA,Cases,13,8
LAGUNA,Cases,8,2
LAGUNA,Cases,5,6
LAGUNA,Cases,7,7
LAGUNA,Cases,11,12
LAGUNA,Cases,12,1
LAGUNA,Cases,20,9
LANAO DEL NORTE,Cases,19,7
LANAO DEL NORTE,Cases,13,10
LANAO DEL NORTE,Cases,4,8
LANAO DEL NORTE,Cases,3,2
LANAO DEL NORTE,Cases,3,4
LANAO DEL NORTE,Cases,2,5
LANAO DEL NORTE,Cases,7,3
LANAO DEL NORTE,Cases,3,6
LANAO DEL NORTE,Cases,16,9
LANAO DEL NORTE,Cases,3,1
LANAO DEL NORTE,Cases,1,12
LANAO DEL NORTE,Cases,4,11
LANAO DEL SUR,Cases,3,6
LANAO DEL SUR,Cases,2,3
LANAO DEL SUR,Cases,0,11
LANAO DEL SUR,Cases,3,12
LANAO DEL SUR,Cases,38,10
LANAO DEL SUR,Cases,2,2
LANAO DEL SUR,Cases,3,4
LANAO DEL SUR,Cases,1,8
LANAO DEL SUR,Cases,2,7
LANAO DEL SUR,Cases,34,9
LANAO DEL SUR,Cases,1,1
LANAO DEL SUR,Cases,4,5
LAPU-LAPU CITY,Cases,1,3
LAPU-LAPU CITY,Cases,64,10
LAPU-LAPU CITY,Cases,2,7
LAPU-LAPU CITY,Cases,1,4
LAPU-LAPU CITY,Cases,3,6
LAPU-LAPU CITY,Cases,1,5
LAPU-LAPU CITY,Cases,4,1
LAPU-LAPU CITY,Cases,3,12
LAPU-LAPU CITY,Cases,7,11
LAPU-LAPU CITY,Cases,59,9
LAPU-LAPU CITY,Cases,6,8
LAPU-LAPU CITY,Cases,5,2
LAS PINAS CITY,Cases,0,4
LAS PINAS CITY,Cases,2,2
LAS PINAS CITY,Cases,1,6
LAS PINAS CITY,Cases,2,1
LAS PINAS CITY,Cases,0,3
LAS PINAS CITY,Cases,39,10
LAS PINAS CITY,Cases,0,5
LAS PINAS CITY,Cases,2,11
LAS PINAS CITY,Cases,0,7
LAS PINAS CITY,Cases,3,12
LAS PINAS CITY,Cases,56,9
LAS PINAS CITY,Cases,2,8
LEYTE,Cases,35,9
LEYTE,Cases,11,8
LEYTE,Cases,4,5
LEYTE,Cases,51,10
LEYTE,Cases,12,6
LEYTE,Cases,5,12
LEYTE,Cases,1,3
LEYTE,Cases,3,4
LEYTE,Cases,5,1
LEYTE,Cases,3,11
LEYTE,Cases,2,2
LEYTE,Cases,10,7
LUCENA CITY,Cases,2,9
LUCENA CITY,Cases,0,2
LUCENA CITY,Cases,3,8
LUCENA CITY,Cases,2,1
LUCENA CITY,Cases,1,10
LUCENA CITY,Cases,0,12
LUCENA CITY,Cases,0,6
LUCENA CITY,Cases,0,5
LUCENA CITY,Cases,0,7
LUCENA CITY,Cases,1,3
LUCENA CITY,Cases,0,4
LUCENA CITY,Cases,1,11
MAGUINDANAO,Cases,4,7
MAGUINDANAO,Cases,1,1
MAGUINDANAO,Cases,1,4
MAGUINDANAO,Cases,4,8
MAGUINDANAO,Cases,4,11
MAGUINDANAO,Cases,60,9
MAGUINDANAO,Cases,3,12
MAGUINDANAO,Cases,61,10
MAGUINDANAO,Cases,4,3
MAGUINDANAO,Cases,3,5
MAGUINDANAO,Cases,6,2
MAGUINDANAO,Cases,7,6
MAKATI CITY,Cases,0,5
MAKATI CITY,Cases,2,7
MAKATI CITY,Cases,8,11
MAKATI CITY,Cases,2,3
MAKATI CITY,Cases,49,9
MAKATI CITY,Cases,39,10
MAKATI CITY,Cases,3,12
MAKATI CITY,Cases,1,6
MAKATI CITY,Cases,1,1
MAKATI CITY,Cases,0,4
MAKATI CITY,Cases,0,8
MAKATI CITY,Cases,0,2
MALABON CITY,Cases,14,11
MALABON CITY,Cases,2,2
MALABON CITY,Cases,0,4
MALABON CITY,Cases,0,1
MALABON CITY,Cases,0,6
MALABON CITY,Cases,77,9
MALABON CITY,Cases,2,3
MALABON CITY,Cases,2,12
MALABON CITY,Cases,0,7
MALABON CITY,Cases,1,5
MALABON CITY,Cases,6,8
MALABON CITY,Cases,78,10
