loc,cases,deaths,month
76,269,0,12
77,229,1,1
77,188,0,2
77,142,0,3
77,87,0,4
77,48,0,5
77,99,0,6
77,199,1,7
77,319,2,8
77,386,3,9
77,273,2,10
77,177,2,11
77,164,1,12
78,184,0,1
78,139,0,2
78,113,0,3
78,42,0,4
78,41,0,5
78,33,0,6
78,72,1,7
78,147,0,8
78,229,12,9
78,245,10,10
78,196,0,11
78,193,1,12
79,1791,9,1
79,1620,7,2
79,1412,16,3
79,886,9,4
79,775,8,5
79,1737,19,6
79,4640,33,7
79,5750,30,8
79,4770,305,9
79,2899,322,10
79,2211,10,11
79,1832,10,12
81,1215,3,1
81,1309,4,2
81,1286,5,3
81,1010,4,4
81,1218,2,5
81,2120,11,6
81,2886,13,7
81,2367,7,8
81,1224,227,9
81,860,253,10
81,710,9,11
81,797,2,12
82,368,2,1
82,348,0,2
82,196,0,3
82,83,0,4
82,117,0,5
82,155,1,6
82,341,0,7
82,747,3,8
82,922,58,9
82,791,75,10
82,688,5,11
82,622,6,12
83,2492,6,1
83,1523,2,2
83,627,2,3
83,302,0,4
83,271,1,5
83,499,0,6
83,1961,17,7
83,4026,24,8
83,4079,17,9
83,2765,4,10
83,2477,7,11
83,2486,10,12
84,483,0,1
84,480,2,2
84,265,1,3
84,141,0,4
84,191,0,5
84,479,3,6
84,1002,0,7
84,1418,1,8
84,1700,4,9
84,1455,1,10
84,1127,3,11
84,753,0,12
85,340,0,1
85,391,1,2
85,287,1,3
85,89,1,4
85,108,2,5
85,189,1,6
85,926,3,7
85,874,3,8
85,858,4,9
85,363,6,10
85,362,2,11
85,351,0,12
86,188,0,1
86,125,0,2
86,66,0,3
86,60,0,4
86,28,0,5
86,28,0,6
86,102,0,7
86,222,0,8
86,325,4,9
86,224,1,10
86,142,0,11
86,142,0,12
87,474,3,1
87,724,2,2
87,685,4,3
87,315,3,4
87,311,3,5
87,629,0,6
87,1466,2,7
87,1316,5,8
87,1015,5,9
87,523,1,10
87,394,1,11
87,533,2,12
88,173,2,1
88,173,1,2
88,187,3,3
88,137,1,4
88,115,1,5
88,150,1,6
88,289,2,7
88,488,4,8
88,424,19,9
88,179,31,10
88,159,1,11
88,113,1,12
89,280,2,1
89,488,1,2
89,518,0,3
89,264,3,4
89,293,0,5
89,599,2,6
89,1522,3,7
89,2002,8,8
89,1454,5,9
89,781,6,10
89,552,13,11
89,243,0,12
90,3126,4,1
90,2345,15,2
90,1223,4,3
90,518,1,4
90,342,0,5
90,501,1,6
90,1673,6,7
90,3220,8,8
90,4334,7,9
90,3621,6,10
90,2965,10,11
90,3399,11,12
91,1715,5,1
91,1245,6,2
91,768,6,3
91,435,5,4
91,467,0,5
91,1070,7,6
91,4222,15,7
91,5806,14,8
91,6010,8,9
91,3768,7,10
91,3175,5,11
91,2629,9,12
92,730,4,1
92,634,1,2
92,362,0,3
92,169,1,4
92,72,0,5
92,125,0,6
92,461,4,7
92,906,2,8
92,1688,91,9
92,1427,126,10
92,1008,14,11
92,944,11,12
93,232,4,1
93,210,0,2
93,127,1,3
93,41,0,4
93,42,0,5
93,52,0,6
93,131,1,7
93,262,0,8
93,485,41,9
93,517,30,10
93,312,6,11
93,286,0,12
94,726,1,1
94,566,0,2
94,275,1,3
94,125,0,4
94,76,0,5
94,95,0,6
94,340,2,7
94,685,3,8
94,1307,100,9
94,1241,199,10
94,1132,11,11
